,for_date,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
82,2022-01-17,rentcast,as163,as1631a1,1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02,2022-01-18 00:44:58.587340
83,2022-01-17,rentcast,as163,as1631a1,"1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07,2022-01-18 00:44:58.587340
84,2022-01-17,rentcast,as163,as1631a1,1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02,2022-01-18 00:44:58.587340
85,2022-01-17,rentcast,as163,as1631a1,"1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07,2022-01-18 00:44:58.587340
86,2022-01-17,rentcast,as163,as1631a1,1507 Cedar Park Rd,Cedar,Park,TX,1.0,"2,864",2022-01-11,Apartment,0.302,0.58,2022-01-18 00:44:58.587340
87,2022-01-17,rentcast,as163,as1631a1,1301 W Whitestone Blvd,Cedar,Park,TX,,,2022-01-11,Apartment,,0.13,2022-01-18 00:44:58.587340
88,2022-01-17,rentcast,as163,as1631a1,1045 Silverstone Ln,Cedar,Park,TX,2.0,"1,153",2021-06-19,Single Family,1.732,0.2,2022-01-18 00:44:58.587340
89,2022-01-17,rentcast,as163,as1631a1,1018 Audra St,Cedar,Park,TX,2.0,"1,165",2022-01-11,Single Family,1.732,0.21,2022-01-18 00:44:58.587340
90,2022-01-17,rentcast,as163,as1631a1,1006 Reynaldo St,Cedar,Park,TX,2.0,"1,297",2022-01-02,Single Family,1.202,0.27,2022-01-18 00:44:58.587340
91,2022-01-17,rentcast,as163,as1631a1,1201 Brashear Ln,Cedar,Park,TX,2.0,"1,343",2021-11-15,Single Family,1.302,0.23,2022-01-18 00:44:58.587340
92,2022-01-17,rentcast,as163,as1631a1,800 Lone Star Dr,Cedar,Park,TX,2.0,"1,253",2021-06-19,Single Family,1.522,0.49,2022-01-18 00:44:58.587340
93,2022-01-17,rentcast,as163,as1631a1,1047 Silverstone Ln,Cedar,Park,TX,2.0,"1,368",2021-09-13,Single Family,1.352,0.2,2022-01-18 00:44:58.587340
94,2022-01-17,rentcast,as163,as1631a1,601 Doris Ln,Cedar,Park,TX,1.0,"33,320",2022-01-11,Apartment,0.042,0.57,2022-01-18 00:44:58.587340
