,for_date,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance
2064,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 913
Jacksonville, FL 32233","1085 Atlantic Blvd, # 913",Jacksonville,FL,32233,1.0,969,2022-01-13,Apartment,1.552,0.01
2065,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 163
Jacksonville, FL 32233","1085 Atlantic Blvd, # 163",Jacksonville,FL,32233,1.0,969,2022-01-16,Apartment,1.572,0.01
2066,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 993
Jacksonville, FL 32233","1085 Atlantic Blvd, # 993",Jacksonville,FL,32233,1.0,969,2022-01-13,Apartment,1.552,0.01
2067,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 553
Jacksonville, FL 32233","1085 Atlantic Blvd, # 553",Jacksonville,FL,32233,1.0,969,2021-12-26,Apartment,1.642,0.01
2068,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 923
Jacksonville, FL 32233","1085 Atlantic Blvd, # 923",Jacksonville,FL,32233,1.0,969,2021-11-29,Apartment,1.652,0.01
2069,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 213
Jacksonville, FL 32233","1085 Atlantic Blvd, # 213",Jacksonville,FL,32233,1.0,969,2021-11-23,Apartment,1.682,0.01
2070,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 983
Jacksonville, FL 32233","1085 Atlantic Blvd, # 983",Jacksonville,FL,32233,1.0,969,2021-11-01,Apartment,1.672,0.01
2071,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 403
Jacksonville, FL 32233","1085 Atlantic Blvd, # 403",Jacksonville,FL,32233,2.0,"1,122",2021-12-26,Apartment,1.712,0.01
2072,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 383
Jacksonville, FL 32233","1085 Atlantic Blvd, # 383",Jacksonville,FL,32233,2.0,"1,122",2021-11-11,Apartment,1.712,0.01
2073,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd
Atlantic Beach, FL 32233",1085 Atlantic Blvd,Atlantic,Beach,FL,1.0,,2022-01-16,Apartment,,0.01
2074,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 874
Jacksonville, FL 32233","1085 Atlantic Blvd, # 874",Jacksonville,FL,32233,1.0,"1,122",2022-01-15,Apartment,1.652,0.01
2075,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 904
Jacksonville, FL 32233","1085 Atlantic Blvd, # 904",Jacksonville,FL,32233,1.0,"1,122",2022-01-15,Apartment,1.652,0.01
2076,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 434
Jacksonville, FL 32233","1085 Atlantic Blvd, # 434",Jacksonville,FL,32233,1.0,"1,122",2021-11-01,Apartment,1.652,0.01
2077,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 692
Jacksonville, FL 32233","1085 Atlantic Blvd, # 692",Jacksonville,FL,32233,1.0,825,2022-01-16,Apartment,1.792,0.01
2078,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 782
Jacksonville, FL 32233","1085 Atlantic Blvd, # 782",Jacksonville,FL,32233,1.0,825,2022-01-16,Apartment,1.782,0.01
2079,17/01/2022,jx1353a1-Signature,"1085 Atlantic Blvd, # 702
Jacksonville, FL 32233","1085 Atlantic Blvd, # 702",Jacksonville,FL,32233,1.0,825,2022-01-16,Apartment,1.782,0.01
2080,17/01/2022,jx1353c1-Signature,"76 W 9th St
Atlantic Beach, FL 32233",76 W 9th St,Atlantic,Beach,FL,2.0,"1,089",2022-01-12,Single Family,2.112,0.33
2081,17/01/2022,jx1353c1-Signature,"589 Camelia St
Atlantic Beach, FL 32233",589 Camelia St,Atlantic,Beach,FL,2.0,"1,145",2021-05-10,Single Family,1.222,0.37
2082,17/01/2022,jx1353c1-Signature,"310 Royal Palms Dr
Atlantic Beach, FL 32233",310 Royal Palms Dr,Atlantic,Beach,FL,2.0,"1,184",2022-01-12,Single Family,1.942,0.37
2083,17/01/2022,jx1353c1-Signature,"115 Saratoga Cir S
Atlantic Beach, FL 32233",115 Saratoga Cir S,Atlantic,Beach,FL,1.5,"1,140",2021-10-25,Single Family,1.582,0.14
2084,17/01/2022,jx1353c1-Signature,"90 Forrestal Cir S
Atlantic Beach, FL 32233",90 Forrestal Cir S,Atlantic,Beach,FL,2.0,"1,280",2022-01-12,Single Family,2.112,0.28
2085,17/01/2022,jx1353c1-Signature,"612 Paradise Ct
Atlantic Beach, FL 32233",612 Paradise Ct,Atlantic,Beach,FL,2.0,"1,198",2021-09-27,Single Family,1.672,0.88
2086,17/01/2022,jx1353c1-Signature,"522 Pine St
Neptune Beach, FL 32266",522 Pine St,Neptune,Beach,FL,2.0,"1,161",2021-12-26,Single Family,2.152,1.18
2087,17/01/2022,jx1353c1-Signature,"376 9th St
Atlantic Beach, FL 32233",376 9th St,Atlantic,Beach,FL,2.0,"1,213",2021-11-18,Single Family,2.892,1.07
2088,17/01/2022,jx1353c1-Signature,"1112 Oceanwood Dr N
Neptune Beach, FL 32266",1112 Oceanwood Dr N,Neptune,Beach,FL,2.0,"1,341",2021-05-27,Single Family,2.092,0.55
2089,17/01/2022,jx1353c1-Signature,"2131 Fairway Villas Ln S
Atlantic Beach, FL 32233",2131 Fairway Villas Ln S,Atlantic,Beach,FL,2.0,"1,223",2021-08-10,Single Family,1.392,1.32
2090,17/01/2022,jx1353c1-Signature,"2131 Fairway Villas Ln
Atlantic Beach, FL 32233",2131 Fairway Villas Ln,Atlantic,Beach,FL,2.0,"1,223",2021-08-11,Single Family,1.392,1.32
2091,17/01/2022,jx1353c1-Signature,"1365 Seminole Rd
Atlantic Beach, FL 32233",1365 Seminole Rd,Atlantic,Beach,FL,2.0,"1,268",2021-10-12,Single Family,1.972,1.27
2092,17/01/2022,jx1353c1-Signature,"760 Triton Rd
Atlantic Beach, FL 32233",760 Triton Rd,Atlantic,Beach,FL,1.5,975,2022-01-12,Single Family,1.952,0.47
2093,17/01/2022,jx1353c1-Signature,"1541 Summer Sands Dr
Neptune Beach, FL 32266",1541 Summer Sands Dr,Neptune,Beach,FL,2.5,"1,536",2021-08-16,Single Family,1.432,0.28
2094,17/01/2022,jx1353c1-Signature,"576 Stocks St
Atlantic Beach, FL 32233",576 Stocks St,Atlantic,Beach,FL,2.5,"1,548",2021-07-01,Single Family,1.132,0.33
2095,17/01/2022,jx1353c1-Signature,"1115 Hamlet Ct
Neptune Beach, FL 32266",1115 Hamlet Ct,Neptune,Beach,FL,2.0,"1,750",2022-01-12,Single Family,1.712,0.64
2096,17/01/2022,jx1353c1-Signature,"318 Seminole Rd
Atlantic Beach, FL 32233",318 Seminole Rd,Atlantic,Beach,FL,2.5,"1,587",2022-01-12,Single Family,2.462,0.78
2097,17/01/2022,jx1353c1-Signature,"1603 Arrowhead Trl
Neptune Beach, FL 32266",1603 Arrowhead Trl,Neptune,Beach,FL,2.0,"1,963",2022-01-05,Single Family,1.632,0.9
2098,17/01/2022,jx1353c1-Signature,"524 Lighthouse Ct
Neptune Beach, FL 32266",524 Lighthouse Ct,Neptune,Beach,FL,2.0,"2,052",2021-05-25,Single Family,1.712,0.91
2099,17/01/2022,jx1353c1-Signature,"1085 Atlantic Blvd, # 403
Jacksonville, FL 32233","1085 Atlantic Blvd, # 403",Jacksonville,FL,32233,2.0,"1,122",2021-12-26,Apartment,1.712,0.01
2100,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 874
Jacksonville, FL 32233","1085 Atlantic Blvd, # 874",Jacksonville,FL,32233,1.0,"1,122",2022-01-10,Apartment,1.652,0.01
2101,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 904
Jacksonville, FL 32233","1085 Atlantic Blvd, # 904",Jacksonville,FL,32233,1.0,"1,122",2022-01-11,Apartment,1.652,0.01
2102,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 434
Jacksonville, FL 32233","1085 Atlantic Blvd, # 434",Jacksonville,FL,32233,1.0,"1,122",2021-11-01,Apartment,1.652,0.01
2103,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 1003
Jacksonville, FL 32233","1085 Atlantic Blvd, # 1003",Jacksonville,FL,32233,1.0,969,2022-01-09,Apartment,1.542,0.01
2104,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 183
Jacksonville, FL 32233","1085 Atlantic Blvd, # 183",Jacksonville,FL,32233,1.0,969,2022-01-11,Apartment,1.542,0.01
2105,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 543
Jacksonville, FL 32233","1085 Atlantic Blvd, # 543",Jacksonville,FL,32233,1.0,969,2022-01-09,Apartment,1.532,0.01
2106,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 973
Jacksonville, FL 32233","1085 Atlantic Blvd, # 973",Jacksonville,FL,32233,1.0,969,2022-01-11,Apartment,1.572,0.01
2107,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 913
Jacksonville, FL 32233","1085 Atlantic Blvd, # 913",Jacksonville,FL,32233,1.0,969,2022-01-11,Apartment,1.552,0.01
2108,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 553
Jacksonville, FL 32233","1085 Atlantic Blvd, # 553",Jacksonville,FL,32233,1.0,969,2021-12-26,Apartment,1.642,0.01
2109,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 163
Jacksonville, FL 32233","1085 Atlantic Blvd, # 163",Jacksonville,FL,32233,1.0,969,2022-01-10,Apartment,1.572,0.01
2110,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 993
Jacksonville, FL 32233","1085 Atlantic Blvd, # 993",Jacksonville,FL,32233,1.0,969,2022-01-10,Apartment,1.552,0.01
2111,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 923
Jacksonville, FL 32233","1085 Atlantic Blvd, # 923",Jacksonville,FL,32233,1.0,969,2021-11-29,Apartment,1.652,0.01
2112,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 213
Jacksonville, FL 32233","1085 Atlantic Blvd, # 213",Jacksonville,FL,32233,1.0,969,2021-11-23,Apartment,1.682,0.01
2113,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 983
Jacksonville, FL 32233","1085 Atlantic Blvd, # 983",Jacksonville,FL,32233,1.0,969,2021-11-01,Apartment,1.672,0.01
2114,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 403
Jacksonville, FL 32233","1085 Atlantic Blvd, # 403",Jacksonville,FL,32233,2.0,"1,122",2021-12-26,Apartment,1.712,0.01
2115,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd, # 383
Jacksonville, FL 32233","1085 Atlantic Blvd, # 383",Jacksonville,FL,32233,2.0,"1,122",2021-11-11,Apartment,1.712,0.01
2116,17/01/2022,jx1354a1-Classic,"23 Saratoga Cir N
Atlantic Beach, FL 32233",23 Saratoga Cir N,Atlantic,Beach,FL,1.5,"1,075",2021-06-25,Single Family,2.422,0.2
2117,17/01/2022,jx1354a1-Classic,"2130 Mayport Rd
Atlantic Beach, FL 32233",2130 Mayport Rd,Atlantic,Beach,FL,1.0,,2022-01-11,Apartment,,1.18
2118,17/01/2022,jx1354a1-Classic,"900 Plaza Dr
Atlantic Beach, FL 32233",900 Plaza Dr,Atlantic,Beach,FL,,,2022-01-11,Apartment,,0.46
2119,17/01/2022,jx1354a1-Classic,"1085 Atlantic Blvd
Atlantic Beach, FL 32233",1085 Atlantic Blvd,Atlantic,Beach,FL,1.0,,2022-01-11,Apartment,,0.01
2120,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 874
Jacksonville, FL 32233","1085 Atlantic Blvd, # 874",Jacksonville,FL,32233,1.0,"1,122",2022-01-10,Apartment,1.652,0.01
2121,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 904
Jacksonville, FL 32233","1085 Atlantic Blvd, # 904",Jacksonville,FL,32233,1.0,"1,122",2022-01-11,Apartment,1.652,0.01
2122,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 434
Jacksonville, FL 32233","1085 Atlantic Blvd, # 434",Jacksonville,FL,32233,1.0,"1,122",2021-11-01,Apartment,1.652,0.01
2123,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 1003
Jacksonville, FL 32233","1085 Atlantic Blvd, # 1003",Jacksonville,FL,32233,1.0,969,2022-01-09,Apartment,1.542,0.01
2124,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 183
Jacksonville, FL 32233","1085 Atlantic Blvd, # 183",Jacksonville,FL,32233,1.0,969,2022-01-11,Apartment,1.542,0.01
2125,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 543
Jacksonville, FL 32233","1085 Atlantic Blvd, # 543",Jacksonville,FL,32233,1.0,969,2022-01-09,Apartment,1.532,0.01
2126,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 973
Jacksonville, FL 32233","1085 Atlantic Blvd, # 973",Jacksonville,FL,32233,1.0,969,2022-01-11,Apartment,1.572,0.01
2127,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 913
Jacksonville, FL 32233","1085 Atlantic Blvd, # 913",Jacksonville,FL,32233,1.0,969,2022-01-11,Apartment,1.552,0.01
2128,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 553
Jacksonville, FL 32233","1085 Atlantic Blvd, # 553",Jacksonville,FL,32233,1.0,969,2021-12-26,Apartment,1.642,0.01
2129,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 163
Jacksonville, FL 32233","1085 Atlantic Blvd, # 163",Jacksonville,FL,32233,1.0,969,2022-01-10,Apartment,1.572,0.01
2130,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 993
Jacksonville, FL 32233","1085 Atlantic Blvd, # 993",Jacksonville,FL,32233,1.0,969,2022-01-10,Apartment,1.552,0.01
2131,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 923
Jacksonville, FL 32233","1085 Atlantic Blvd, # 923",Jacksonville,FL,32233,1.0,969,2021-11-29,Apartment,1.652,0.01
2132,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 213
Jacksonville, FL 32233","1085 Atlantic Blvd, # 213",Jacksonville,FL,32233,1.0,969,2021-11-23,Apartment,1.682,0.01
2133,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 983
Jacksonville, FL 32233","1085 Atlantic Blvd, # 983",Jacksonville,FL,32233,1.0,969,2021-11-01,Apartment,1.672,0.01
2134,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 403
Jacksonville, FL 32233","1085 Atlantic Blvd, # 403",Jacksonville,FL,32233,2.0,"1,122",2021-12-26,Apartment,1.712,0.01
2135,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd, # 383
Jacksonville, FL 32233","1085 Atlantic Blvd, # 383",Jacksonville,FL,32233,2.0,"1,122",2021-11-11,Apartment,1.712,0.01
2136,17/01/2022,jx1354a1-Premium,"23 Saratoga Cir N
Atlantic Beach, FL 32233",23 Saratoga Cir N,Atlantic,Beach,FL,1.5,"1,075",2021-06-25,Single Family,2.422,0.2
2137,17/01/2022,jx1354a1-Premium,"2130 Mayport Rd
Atlantic Beach, FL 32233",2130 Mayport Rd,Atlantic,Beach,FL,1.0,,2022-01-11,Apartment,,1.18
2138,17/01/2022,jx1354a1-Premium,"900 Plaza Dr
Atlantic Beach, FL 32233",900 Plaza Dr,Atlantic,Beach,FL,,,2022-01-11,Apartment,,0.46
2139,17/01/2022,jx1354a1-Premium,"1085 Atlantic Blvd
Atlantic Beach, FL 32233",1085 Atlantic Blvd,Atlantic,Beach,FL,1.0,,2022-01-11,Apartment,,0.01
2140,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0F12
Jacksonville, FL 32207","1706 Art Museum Dr, # 0F12",Jacksonville,FL,32207,1.0,750,2022-01-09,Apartment,1.492,0.06
2141,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 00C6
Jacksonville, FL 32207","1706 Art Museum Dr, # 00C6",Jacksonville,FL,32207,1.0,750,2022-01-11,Apartment,1.472,0.06
2142,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0A10
Jacksonville, FL 32207","1706 Art Museum Dr, # 0A10",Jacksonville,FL,32207,1.0,750,2022-01-10,Apartment,1.472,0.06
2143,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 00H5
Jacksonville, FL 32207","1706 Art Museum Dr, # 00H5",Jacksonville,FL,32207,1.0,750,2022-01-11,Apartment,1.492,0.06
2144,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0H15
Jacksonville, FL 32207","1706 Art Museum Dr, # 0H15",Jacksonville,FL,32207,1.0,750,2022-01-09,Apartment,1.472,0.06
2145,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0B11
Jacksonville, FL 32207","1706 Art Museum Dr, # 0B11",Jacksonville,FL,32207,1.0,750,2022-01-11,Apartment,1.472,0.06
2146,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 00L8
Jacksonville, FL 32207","1706 Art Museum Dr, # 00L8",Jacksonville,FL,32207,1.0,750,2022-01-11,Apartment,1.472,0.06
2147,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 00G4
Jacksonville, FL 32207","1706 Art Museum Dr, # 00G4",Jacksonville,FL,32207,1.0,750,2022-01-09,Apartment,1.492,0.06
2148,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0L10
Jacksonville, FL 32207","1706 Art Museum Dr, # 0L10",Jacksonville,FL,32207,1.0,750,2021-12-23,Apartment,1.472,0.06
2149,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0H16
Jacksonville, FL 32207","1706 Art Museum Dr, # 0H16",Jacksonville,FL,32207,1.0,750,2021-12-17,Apartment,1.362,0.06
2150,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0A11
Jacksonville, FL 32207","1706 Art Museum Dr, # 0A11",Jacksonville,FL,32207,1.0,750,2021-12-23,Apartment,1.472,0.06
2151,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0B10
Jacksonville, FL 32207","1706 Art Museum Dr, # 0B10",Jacksonville,FL,32207,1.0,750,2021-11-11,Apartment,1.272,0.06
2152,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 00G6
Jacksonville, FL 32207","1706 Art Museum Dr, # 00G6",Jacksonville,FL,32207,1.0,750,2021-11-24,Apartment,1.402,0.06
2153,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 0G15
Jacksonville, FL 32207","1706 Art Museum Dr, # 0G15",Jacksonville,FL,32207,1.0,750,2021-11-24,Apartment,1.402,0.06
2154,17/01/2022,jx1451a1-Classic,"1706 Art Museum Dr, # 00A2
Jacksonville, FL 32207","1706 Art Museum Dr, # 00A2",Jacksonville,FL,32207,1.0,750,2021-11-23,Apartment,1.272,0.06
2155,17/01/2022,jx1451a1-Classic,"4800 Atlantic Blvd, Apt 210
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 210",Jacksonville,FL,32207,1.0,650,2022-01-10,Apartment,1.312,0.5
2156,17/01/2022,jx1451a1-Classic,"4800 Atlantic Blvd, Apt 211
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 211",Jacksonville,FL,32207,1.0,650,2022-01-10,Apartment,1.312,0.5
2157,17/01/2022,jx1451a1-Classic,"4800 Atlantic Blvd, Apt 254
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 254",Jacksonville,FL,32207,1.0,650,2021-12-17,Apartment,1.312,0.5
2158,17/01/2022,jx1451a1-Classic,"4800 Atlantic Blvd, Apt 230
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 230",Jacksonville,FL,32207,1.0,650,2021-12-17,Apartment,1.312,0.5
2159,17/01/2022,jx1451a1-Classic,"4800 Atlantic Blvd, Apt 110
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 110",Jacksonville,FL,32207,1.0,650,2021-12-17,Apartment,1.312,0.5
2160,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0F12
Jacksonville, FL 32207","1706 Art Museum Dr, # 0F12",Jacksonville,FL,32207,1.0,750,2022-01-09,Apartment,1.492,0.06
2161,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 00C6
Jacksonville, FL 32207","1706 Art Museum Dr, # 00C6",Jacksonville,FL,32207,1.0,750,2022-01-11,Apartment,1.472,0.06
2162,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0A10
Jacksonville, FL 32207","1706 Art Museum Dr, # 0A10",Jacksonville,FL,32207,1.0,750,2022-01-10,Apartment,1.472,0.06
2163,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 00H5
Jacksonville, FL 32207","1706 Art Museum Dr, # 00H5",Jacksonville,FL,32207,1.0,750,2022-01-11,Apartment,1.492,0.06
2164,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0H15
Jacksonville, FL 32207","1706 Art Museum Dr, # 0H15",Jacksonville,FL,32207,1.0,750,2022-01-09,Apartment,1.472,0.06
2165,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0B11
Jacksonville, FL 32207","1706 Art Museum Dr, # 0B11",Jacksonville,FL,32207,1.0,750,2022-01-11,Apartment,1.472,0.06
2166,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 00L8
Jacksonville, FL 32207","1706 Art Museum Dr, # 00L8",Jacksonville,FL,32207,1.0,750,2022-01-11,Apartment,1.472,0.06
2167,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 00G4
Jacksonville, FL 32207","1706 Art Museum Dr, # 00G4",Jacksonville,FL,32207,1.0,750,2022-01-09,Apartment,1.492,0.06
2168,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0L10
Jacksonville, FL 32207","1706 Art Museum Dr, # 0L10",Jacksonville,FL,32207,1.0,750,2021-12-23,Apartment,1.472,0.06
2169,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0H16
Jacksonville, FL 32207","1706 Art Museum Dr, # 0H16",Jacksonville,FL,32207,1.0,750,2021-12-17,Apartment,1.362,0.06
2170,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0A11
Jacksonville, FL 32207","1706 Art Museum Dr, # 0A11",Jacksonville,FL,32207,1.0,750,2021-12-23,Apartment,1.472,0.06
2171,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0B10
Jacksonville, FL 32207","1706 Art Museum Dr, # 0B10",Jacksonville,FL,32207,1.0,750,2021-11-11,Apartment,1.272,0.06
2172,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 00G6
Jacksonville, FL 32207","1706 Art Museum Dr, # 00G6",Jacksonville,FL,32207,1.0,750,2021-11-24,Apartment,1.402,0.06
2173,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 0G15
Jacksonville, FL 32207","1706 Art Museum Dr, # 0G15",Jacksonville,FL,32207,1.0,750,2021-11-24,Apartment,1.402,0.06
2174,17/01/2022,jx1451a1-Premium,"1706 Art Museum Dr, # 00A2
Jacksonville, FL 32207","1706 Art Museum Dr, # 00A2",Jacksonville,FL,32207,1.0,750,2021-11-23,Apartment,1.272,0.06
2175,17/01/2022,jx1451a1-Premium,"4800 Atlantic Blvd, Apt 210
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 210",Jacksonville,FL,32207,1.0,650,2022-01-10,Apartment,1.312,0.5
2176,17/01/2022,jx1451a1-Premium,"4800 Atlantic Blvd, Apt 211
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 211",Jacksonville,FL,32207,1.0,650,2022-01-10,Apartment,1.312,0.5
2177,17/01/2022,jx1451a1-Premium,"4800 Atlantic Blvd, Apt 254
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 254",Jacksonville,FL,32207,1.0,650,2021-12-17,Apartment,1.312,0.5
2178,17/01/2022,jx1451a1-Premium,"4800 Atlantic Blvd, Apt 230
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 230",Jacksonville,FL,32207,1.0,650,2021-12-17,Apartment,1.312,0.5
2179,17/01/2022,jx1451a1-Premium,"4800 Atlantic Blvd, Apt 110
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 110",Jacksonville,FL,32207,1.0,650,2021-12-17,Apartment,1.312,0.5
2180,17/01/2022,jx1452a1-Classic,"1706 Art Museum Dr, # 0K16
Jacksonville, FL 32207","1706 Art Museum Dr, # 0K16",Jacksonville,FL,32207,1.0,"1,050",2022-01-09,Apartment,1.302,0.06
2181,17/01/2022,jx1452a1-Classic,"1706 Art Museum Dr, # 0I11
Jacksonville, FL 32207","1706 Art Museum Dr, # 0I11",Jacksonville,FL,32207,1.0,"1,050",2022-01-11,Apartment,1.312,0.06
2182,17/01/2022,jx1452a1-Classic,"1706 Art Museum Dr, # 00K3
Jacksonville, FL 32207","1706 Art Museum Dr, # 00K3",Jacksonville,FL,32207,1.0,"1,050",2022-01-11,Apartment,1.152,0.06
2183,17/01/2022,jx1452a1-Classic,"1706 Art Museum Dr, # 0K10
Jacksonville, FL 32207","1706 Art Museum Dr, # 0K10",Jacksonville,FL,32207,1.0,"1,050",2021-12-23,Apartment,1.132,0.06
2184,17/01/2022,jx1452a1-Classic,"1706 Art Museum Dr, # 0I12
Jacksonville, FL 32207","1706 Art Museum Dr, # 0I12",Jacksonville,FL,32207,1.0,"1,050",2021-11-23,Apartment,1.252,0.06
2185,17/01/2022,jx1452a1-Classic,"1706 Art Museum Dr, # 00J8
Jacksonville, FL 32207","1706 Art Museum Dr, # 00J8",Jacksonville,FL,32207,1.0,"1,050",2021-11-23,Apartment,1.272,0.06
2186,17/01/2022,jx1452a1-Classic,"1706 Art Museum Dr, # 0J14
Jacksonville, FL 32207","1706 Art Museum Dr, # 0J14",Jacksonville,FL,32207,1.0,"1,050",2021-11-11,Apartment,1.082,0.06
2187,17/01/2022,jx1452a1-Classic,"1706 Art Museum Dr, # 00K2
Jacksonville, FL 32207","1706 Art Museum Dr, # 00K2",Jacksonville,FL,32207,1.0,"1,050",2021-11-03,Apartment,1.082,0.06
2188,17/01/2022,jx1452a1-Classic,"3148 Belden St, Apt 1
Jacksonville, FL 32207","3148 Belden St, Apt 1",Jacksonville,FL,32207,1.0,"1,080",2021-06-24,Apartment,0.832,0.68
2189,17/01/2022,jx1452a1-Classic,"3044 Walton St, Apt 7
Jacksonville, FL 32207","3044 Walton St, Apt 7",Jacksonville,FL,32207,1.0,950,2021-07-27,Apartment,0.862,0.73
2190,17/01/2022,jx1452a1-Classic,"2331 Holmes St
Jacksonville, FL 32207",2331 Holmes St,Jacksonville,FL,32207,1.0,870,2021-07-03,Apartment,1.522,0.51
2191,17/01/2022,jx1452a1-Classic,"4800 Atlantic Blvd, Apt 117
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 117",Jacksonville,FL,32207,1.0,800,2022-01-11,Apartment,1.162,0.5
2192,17/01/2022,jx1452a1-Classic,"4800 Atlantic Blvd, Apt 247
Jacksonville, FL 32207","4800 Atlantic Blvd, Apt 247",Jacksonville,FL,32207,1.0,800,2022-01-11,Apartment,1.162,0.5
